# RELIQUARY — Kartentexte Chinesisch (vereinfacht)
# Blöcke: "## Englischer Name" als Schlüssel, dann n/s/lN/tN.
# Archetype-Namen (verbindlich): Apocrypha=伪典 Archfiend=狱魔 Barrierstruck=障壁
# Deathpoem=挽诗 Deckay=朽库 Dragon Shrine=龙祠 Failsafe=保险 Fethaerbreese=羽风
# Forgeheart=锻心 Gaslight=惑光 Genostitched=缝生 Gravemaw=墓喉 Heavenly=天界
# Hexweaver=咒织 Kindlekin=薪火 Lightless=无光 Lyria=莉里亚 Manacle=铁镣
# Mechination=机谋 Mimicrypt=拟墓 Paperbound=纸缚 Powderkeg=药桶 Redactor=涂墨
# Sacrilegion=渎圣军 Sleightwind=巧风 Slowburn=慢燃 Snugglet=偎偎兽 Tidebound=缚潮
# Trapline=陷线 Wyldpack=野群
## Abyss Titan
n 伪典斯芬克斯
l0 第一道谜题
t0 此卡被召唤时：查看对手的手牌并选择其中1张；对手将其丢弃。
l1 第二道谜题
t1 支付2点法力并从你的墓地放逐此卡：查看对手的手牌并选择其中1张；对手将其丢弃。
## Apocrypha, Torn Colophon
n 伪典·撕裂的题记
s 对手控制2只以上怪兽——支付2点法力。
l0 缺失的一页
t0 此卡被召唤的场合：把对手控制的1张卡返回持有者的手牌。
## Apocrypha, the Lost Chapter
n 伪典·失落之章
s 你有3张以上被放逐的卡——支付2点法力。
l0 重新装订
t0 此卡被召唤时：把你至多2张被放逐的卡返回你的墓地；抽1张卡。
l1 全文删除
t1 支付3点法力：放逐对手控制的1只怪兽。
l2 字里行间
t2 支付2点法力：此卡本回合不会成为目标。
## Apocrypha, the Unwritten
n 伪典·未曾书写者
s 你的墓地有3只以上怪兽且你有4点以上可用法力——支付2点法力。
l0 最后的话语
t0 支付2点法力：当前连锁之前的所有连锁全部无效。
## Archfiend Cinderling
n 狱魔烬童
l0 拖你陪葬
t0 此卡被破坏时：你可以破坏对手控制的1只攻击力1000以下的怪兽。
## Archfiend Court Jester
n 狱魔宫廷小丑
l0 遗言笑话
t0 此卡被破坏时：抽1张卡。
l1 刻薄的包袱
t1 支付1点法力并把此卡从手牌送入墓地：对手控制的1只怪兽永久失去400攻击力。
## Archfiend Crown
n 狱魔王冠
l0 王冠之重
t0 在你的准备阶段：对手控制的1只怪兽永久失去300攻击力。
l1 王室处决
t1 你可以支付2点法力：破坏对手控制的1只攻击力800以下的怪兽。
## Archfiend Death Warrant
n 狱魔死刑令
l0 签字用印
t0 破坏对手控制的1只攻击力2000以下的怪兽。
l1 王室敕令
t1 改为支付4点法力：无攻击力上限；然后从你的墓地把1只“狱魔”怪兽以里侧特殊召唤。
## Archfiend Devil's Advocate
n 狱魔恶魔代言人
l0 恶魔代言人
t0 支付1点法力并丢弃1张卡；从你的墓地把1只“狱魔”怪兽返回手牌。
l1 胜诉
t1 改为支付3点法力并丢弃1张卡：从你的墓地把1只“狱魔”怪兽以里侧特殊召唤。
## Archfiend Devil's Bargain
n 狱魔魔鬼交易
l0 交易
t0 支付1点法力：破坏你控制的1只怪兽；抽2张卡并获得1点法力。
l1 附加细则
t1 改为支付1点法力：另外从你的墓地把1只“狱魔”怪兽以里侧特殊召唤。
## Archfiend Dominus
n 狱魔主宰
s 对手控制3只以上怪兽 — 支付4法力。
l0 覆灭王座
t0 此卡被召唤时：破坏对手控制的1只怪兽。
## Archfiend Executioner
n 狱魔处刑人
l0 执行死刑
t0 此卡被召唤时：破坏对手控制的1只攻击力1200以下的怪兽。
l1 扩写令状
t1 改为支付2点法力：1800以下。
## Archfiend Gallows
n 狱魔绞刑架
l0 走向刑台
t0 每回合一次——支付2点法力：破坏你控制的1只怪兽；从你的墓地把1只“狱魔”怪兽以里侧特殊召唤。
## Archfiend Hatchet Man
n 狱魔刽子手
l0 下狠手
t0 此卡被召唤时：破坏对手控制的1只攻击力1500以下的怪兽。
l1 受雇行凶
t1 改为支付3点法力：破坏对手控制的1只攻击力2500以下的怪兽。
l2 埋掉斧头
t2 每回合一次：支付2点法力；从你的墓地放逐1只怪兽；获得300 LP。
## Archfiend Heavy Is the Crown
n 狱魔·王冠沉重
l0 王冠沉重
t0 在你的准备阶段：把“狱魔王冠”从你的墓地返回手牌。
## Archfiend Kingmaker
n 狱魔拥王者
s 你的墓地有5只以上怪兽 — 支付4法力。
l0 血色加冕
t0 此卡被召唤时：破坏对手控制的至多2只攻击力1500以下的怪兽；每破坏1只，此卡永久获得200攻击力。
l1 重组宫廷
t1 支付3点法力：从你的墓地特殊召唤1只“狱魔”怪兽。
## Archfiend Last Laugh
n 狱魔·笑到最后
l0 笑到最后
t0 破坏你控制的1只怪兽；抽2张卡。
l1 这笑话落在你头上
t1 改为支付2点法力：另外从你的墓地把1只“狱魔”怪兽以里侧特殊召唤。
## Archfiend Matchmaker
n 狱魔媒人
l0 牵线搭桥
t0 此卡被召唤时：从你的卡组把1张“狱魔”卡送入墓地。
l1 天作之合
t1 改为支付1点法力：从你的卡组把1张“狱魔”卡送入墓地，然后从你的卡组把另1张“狱魔”卡加入手牌。
## Archfiend Overlord
n 狱魔霸主
l0 审判降临
t0 此卡被召唤时：你可以破坏对手控制的1只怪兽。
l1 喂养王座
t1 你可以支付3点法力：破坏对手控制的1只怪兽，然后此卡永久获得400攻击力。
## Archfiend Torturer
n 狱魔拷问官
l0 折磨
t0 此卡被召唤时：对手控制的1只怪兽永久失去600攻击力。
l1 了结
t1 你可以支付2点法力：破坏对手控制的1只攻击力1000以下的怪兽。
## Archfiend Warden
n 狱魔狱卒
l0 一夫当关
t0 对手召唤怪兽时：你可以支付2点法力；破坏对手控制的1只攻击力1700以下的怪兽。
## Ash Warrior
n 燃烬武士
## Attention Hound
n 求关注犬
l0 好孩子
t0 每回合一次：此卡获得300守备力，直到本回合结束。
## Aurel, Who Collects at Midnight
n 午夜来收账的奥雷尔
s 你的LP不多于4000且你的墓地有3张以上法术——支付3点法力。
l0 午夜收账
t0 此卡被召唤时：你墓地中的法术每有1张，获得500 LP（至多2500）。
## Awkward Silence
n 尴尬的沉默
l0 尴尬的沉默
t0 此卡被召唤时：你丢弃1张卡，且对手随机丢弃1张卡。
l1 难堪的沉默
t1 改为支付2点法力：对手随机丢弃2张卡。
## Baby Dragon of the Dragon Shrine
n 龙祠幼龙
l0 幼龙成长
t0 此卡是被特殊召唤的场合，在你的结束阶段：你可以把此卡送入墓地；从你的手牌或墓地特殊召唤1只2级龙族怪兽。
## Back in Style
n 重新流行
l0 重新流行
t0 支付1点法力：把你墓地中至多3张卡洗回卡组；抽1张卡。
l1 全面回归
t1 改为支付2点法力：至多5张；抽1张。
## Bad Penny
n 阴魂不散的铜板
l0 又冒出来了
t0 此卡被破坏时：将其返回你的手牌。
## Bael, Who Wears the Dead
n 身披亡者的巴力
l0 披上逝者
t0 此卡被召唤时：你可以从你的墓地把1张神器装备给此卡。
## Banishing Sigil
n 放逐印记
l0 放逐印记
t0 以场上1只怪兽为目标；将其放逐。
## Barrierstruck Aegis Colossus
n 障壁神盾巨像
l0 意志之墙
t0 此卡被召唤时：你可以从卡组把1张“障壁”神器放置到场上。
l1 绝对神盾
t1 你可以支付3点法力并破坏你控制的1张神器；此卡本回合不会被破坏。
## Barrierstruck Bricklayer
n 障壁砌墙匠
l0 打好地基
t0 此卡被召唤时：从你的卡组把1张神器送入墓地。
l1 三思而砌
t1 改为支付1点法力：改为将其加入手牌。
## Barrierstruck Cold Shoulder
n 障壁冷面相待
l0 冷面相待
t0 支付1点法力：把你控制的1只怪兽转为守备表示；你控制的1只怪兽获得800守备力，直到本回合结束。
l1 冷若磐石
t1 改为支付2点法力：把你的全部怪兽转为守备表示；其中至多5只获得800守备力，直到本回合结束。
## Barrierstruck Demolition Refund
n 障壁拆迁补偿
l0 拆迁补偿
t0 破坏你控制的1张神器；抽2张卡。
l1 保险理赔
t1 改为支付2点法力：另外从你的卡组把1张“障壁”神器放置到场上。
## Barrierstruck Gatekeeper
n 障壁守门人
l0 大门回应
t0 支付2点法力：此卡本回合不会被破坏；其攻击力与守备力互换，直到本回合结束。
## Barrierstruck Hold the Line
n 障壁坚守防线
l0 坚守防线
t0 你的至多3只怪兽获得600守备力，直到本回合结束。
l1 寸步不退
t1 改为支付3点法力：它们本回合也不会被破坏，且由其中1只承受所有攻击。
## Barrierstruck Keystone
n 障壁拱心石
l0 拱门不倒
t0 此卡被破坏时：从你的墓地把至多2张“障壁”神器放置到场上。
## Barrierstruck Load-Bearing Wall
n 障壁承重墙
l0 承重
t0 每回合一次：支付1点法力；你控制的1只怪兽永久获得400守备力。
## Barrierstruck Mason
n 障壁石匠
l0 重砌高墙
t0 此卡被召唤时：从你的墓地把1张“障壁”神器加入手牌。
l1 砌得更高
t1 改为支付2点法力：直接将其放置到场上；你控制的1只怪兽获得300守备力，直到本回合结束。
## Barrierstruck Peacekeeper
n 障壁维和者
l0 最后警告
t0 每回合一次：把对手控制的1只怪兽转为守备表示。
## Barrierstruck Sanctum Colossus
n 障壁圣所巨像
s 你的墓地有2张以上神器。费用3点法力。
l0 重建圣所
t0 此卡被召唤时：从你的卡组把至多2张“障壁”神器放置到场上。
## Barrierstruck Shieldbearer
n 障壁持盾卫
l0 筑起高墙
t0 此卡被召唤时：你可以从卡组把1张“障壁”神器放置到场上。
## Barrierstruck Warden
n 障壁营造官
l0 军需官
t0 你可以支付1点法力：从你的卡组把1张“障壁”卡加入手牌。
## Barrierstruck, Set in Stone
n 障壁·凿入磐石
l0 凿入磐石
t0 此卡被召唤时：你墓地中的神器每有1张，此卡获得200守备力。
l1 铭刻磐石
t1 改为支付2点法力：此卡也获得等量的攻击力。
## Barrierstruck, the Unbreached
n 障壁·不破之墙
s 你控制3张以上神器。费用3点法力。
l0 筑防于生者
t0 此卡被召唤时：你的至多2只怪兽永久获得500守备力。
l1 高墙行军
t1 支付3点法力：此卡的攻击力与守备力互换，直到本回合结束；本战斗阶段可以攻击两次。
## Bench Warmer
n 替补队员
## Blade Knight
n 剑刃骑士
## Blessing of Light
n 光之赐福
l0 赐福
t0 支付2点法力；获得1500 LP。
l1 更大的赐福
t1 支付4点法力；获得3500 LP。
## Blood Oath
n 血誓
l0 偿清血债
t0 此卡被破坏时：获得1000 LP。
l1 以血为誓
t1 支付2点法力和500 LP：此卡永久获得500攻击力。
## Blood for Ink
n 以血为墨
l0 以血为墨
t0 支付1点法力和1000 LP：抽2张卡。
l1 割得更深
t1 改为支付1点法力和2000 LP：抽3张卡，本回合获得1点法力。
## Bone Colossus
n 白骨巨像
## Borrowed Time
n 借来的时光
l0 借来的时光
t0 支付4点法力：获得对手控制的1只怪兽的控制权，直到结束阶段。
l1 利息滚动
t1 改为支付5点法力：另外抽1张卡。
## Brack, Who Stands in Front
n 挡在身前的布拉克
l0 挡在身前
t0 每回合一次：你可以支付1点法力；直到结束阶段，对手的怪兽只要能攻击就必须攻击此卡。
## Bristleback Aurochs
n 鬃背野牛
l0 放低犄角
t0 支付2点法力：把对手控制的1只怪兽转为守备表示。
## Bronn the Relicwright
n 圣物匠布隆
l0 锻造圣物
t0 每回合一次：你可以支付2点法力；从你的卡组盖放1张神器。
## Bulwark Idol
n 壁垒神像
l0 静默赐福
t0 在你的准备阶段：你可以获得200 LP。
l1 石之护佑
t1 你可以支付2点法力：你控制的1只怪兽永久获得400守备力。
## Bulwark Prism
n 壁垒棱镜
l0 折射守护者
t0 此卡被破坏时：你可以从卡组特殊召唤1只1级“障壁”怪兽。
## Call of the Wyld
n 野性的呼唤
l0 远方的呼唤
t0 从你的卡组把1只“野群”怪兽加入手牌。
l1 群落回应
t1 从你的卡组把1只“野群”怪兽加入手牌，然后从你的手牌特殊召唤1只1级“野群”怪兽。
## Call to Arms
n 征召令
l0 征召令
t0 从你的卡组把1只2级怪兽加入手牌。
## Callis the Exhumer
n 掘墓人卡利斯
l0 掘出
t0 每回合一次：你可以支付2点法力；从你的墓地把1只攻击力1000以下的怪兽加入手牌。
## Cards on the Table
n 摊牌
l0 摊牌
t0 支付1点法力：把对手控制的1只里侧怪兽翻开。
l1 亮出底牌
t1 改为支付2点法力：把其中至多5只翻开。
## Careful Hands
n 小心翼翼
l0 小心翼翼
t0 支付1点法力：从你的手牌把1只怪兽以里侧守备表示特殊召唤。
## Castellan of the Long Wall
n 长城城主
s 你控制3只以上怪兽——支付2点法力。
l0 登墙布防
t0 此卡被召唤时：把你控制的另1只怪兽移动到空的怪兽区域；然后你可以再移动第二只。
## Cease and Desist
n 勒令停止
l0 勒令
t0 支付2点法力：对手控制的1张卡的效果无效，直到本回合结束。
l1 并停止
t1 改为支付4点法力：另外，对手控制的1只怪兽本回合不能攻击。
## Chain Lightning
n 连环闪电
l0 连环闪电
t0 以对手控制的1只怪兽为目标；它永久失去800攻击力，然后对对手造成300点伤害。
## Chaosfire Behemoth
n 乱焰巨兽
l0 鲁莽烈焰
t0 此卡被召唤时：对双方各造成500点伤害。
l1 横冲直撞
t1 你可以支付3点法力：此卡本回合的战斗阶段可以再攻击一次。
## Chimney Sweep
n 扫烟囱工
## Chrono Adept
n 时序行家
l0 倒转
t0 你可以支付3点法力：从你的墓地把1张卡返回手牌。
## Cinderwake, Who Counts the Dead
n 清点亡者的烬醒
s 你的墓地有8张以上的卡。费用2点法力。
l0 清点
t0 此卡被召唤时：把对手控制的1只怪兽返回手牌。
## Cliffhanger
n 悬念迭起
l0 未完待续
t0 在你的准备阶段：翻开你卡组顶的1张卡；你可以把它放到卡组底。
l1 直接看精彩部分
t1 每回合一次：支付1点法力；把你卡组顶的1张卡送入墓地；抽1张卡。
## Clockwork Sentinel
n 发条哨卫
l0 自我修复
t0 在你的结束阶段：你可以获得300 LP。
l1 紧急装甲
t1 你可以支付2点法力：此卡获得500守备力，直到本回合结束。
## Coax, Who Whispers Terms
n 低语条款的科克斯
l0 服务条款
t0 每回合一次：你可以支付3点法力；获得对手控制的1只攻击力1500以下的怪兽的控制权，直到结束阶段。
## Cold Feet
n 临阵退缩
l0 临阵退缩
t0 支付2点法力：把场上1只怪兽返回持有者的手牌。
l1 再三犹豫
t1 改为支付4点法力：把场上2只怪兽返回持有者的手牌。
## Cooler Heads Prevail
n 冷静者胜
l0 冷静者胜
t0 支付2点法力：把场上所有表侧怪兽转为守备表示。
l1 劝下阵来
t1 改为支付3点法力：只转换对手的怪兽。
## Cull the Weak
n 淘弱留强
l0 淘弱留强
t0 双方各从卡组选1只怪兽并同时翻开。破坏攻击力较低的一只，特殊召唤另一只（无法召唤时放回卡组顶）。然后其持有者受到相当于攻击力差值的伤害。攻击力相同时，都洗回卡组。
## Deathpoem Calligrapher
n 挽诗书法家
l0 为逝者研墨
t0 此卡被送入墓地的场合：从你的卡组把1张“挽诗”卡加入手牌。
## Deathpoem Duelist
n 挽诗决斗家
l0 第二段诗节
t0 祭献此卡：破坏1只攻击力2000以下的怪兽。
l1 剑刃余响
t1 支付2点法力并从你的墓地放逐此卡：从你的墓地特殊召唤1只1级“挽诗”怪兽。
## Deathpoem Elegist
n 挽诗哀歌者
l0 钢铁挽歌
t0 祭献此卡：破坏对手控制的1张法术或神器。
l1 铭记的诗节
t1 支付2点法力并从你的墓地放逐此卡：从你的卡组把1张“挽诗”卡加入手牌。
## Deathpoem Final Draft
n 挽诗定稿
l0 定稿
t0 从你的卡组把1只“挽诗”怪兽送入墓地；抽1张卡。
l1 作品全集
t1 改为支付2点法力：送入2只。
## Deathpoem Housebane
n 挽诗覆宅者
l0 倾覆之诗
t0 祭献此卡：破坏1只怪兽。
l1 沉默之诗
t1 改为支付5点法力：破坏至多2只怪兽，并把场上至多1张法术或神器返回持有者的手牌。
## Deathpoem Initiate
n 挽诗见习生
l0 开篇诗节
t0 祭献此卡：破坏1只攻击力1200以下的怪兽。
l1 完美一击
t1 改为支付3点法力：破坏1只怪兽（无攻击力上限）。
## Deathpoem Inkstone
n 挽诗砚台
l0 灰烬成墨
t0 每回合一次，你控制的怪兽被祭献时：抽1张卡。
l1 磨砺诗句
t1 支付2点法力：从你的墓地把1只“挽诗”怪兽返回手牌；它永久获得300攻击力。
## Deathpoem Recital
n 挽诗朗诵会
l0 午夜朗诵
t0 从你的墓地特殊召唤1只“挽诗”怪兽。
l1 双人朗诵
t1 改为支付4点法力：特殊召唤2只；它们本回合不会被破坏。
## Deathpoem Vow
n 挽诗之誓
l0 吟诵诗节
t0 从你的墓地特殊召唤1只“挽诗”怪兽。
l1 吟诵全集
t1 改为支付3点法力：特殊召唤至多2只。
## Deathpoem Warpoet
n 挽诗战地诗人
l0 杀戮诗章
t0 祭献此卡：破坏至多2只攻击力1500以下的怪兽。
## Deathpoem, Death of the Author
n 挽诗·作者之死
s 你的墓地有7张以上的卡——支付3点法力。
l0 作者陨落
t0 此卡被召唤时：破坏对手控制的1只怪兽；然后你可以从你的墓地特殊召唤1只1级“挽诗”怪兽。
l1 焚书
t1 支付4点法力并祭献此卡：破坏对手控制的所有攻击力2000以下的怪兽。
## Deathpoem, Unsigned Verse
n 挽诗·无名诗节
s 你的墓地有6张以上的卡——支付2点法力。
l0 未写完的结局
t0 支付2点法力：此卡本回合不会被破坏。
## Deathpoem, the Final Verse
n 挽诗·最终诗节
l0 收束之句
t0 祭献此卡：破坏1只攻击力2000以下的怪兽，并把至多1张法术或神器返回持有者的手牌。
## Deathpoem, the Hundredth Stanza
n 挽诗·第一百节
s 你的墓地有5只以上怪兽——支付3点法力。
l0 百刃齐落
t0 此卡被召唤的场合：你可以破坏对手控制的至多2只怪兽。
l1 全书合拢
t1 支付3点法力并祭献此卡：破坏至多3只怪兽。
## Deckay Broodmother
n 朽库育母
l0 照料幼虫
t0 在你的结束阶段：磨切2张卡。
l1 翻新巢穴
t1 此卡从卡组被送入墓地的场合：把你墓地中至多3张卡洗回卡组。
## Deckay Burrower
n 朽库掘洞虫
l0 打穿地道
t0 在双方的结束阶段：磨切2张卡。
l1 从未真正离去
t1 此卡从卡组被送入墓地的场合：将其特殊召唤。
## Deckay Carrion Prince
n 朽库腐肉亲王
l0 腐烂宫廷
t0 此卡被召唤时：磨切3张卡。
l1 腐朽什一税
t1 支付2点法力：把你墓地中至多3张卡洗回卡组；对手控制的1只怪兽永久失去500攻击力。
## Deckay Compost Heap
n 朽库堆肥堆
l0 堆肥
t0 在你的准备阶段：磨切2张卡。
l1 沃土
t1 每回合一次——支付1点法力，你在本回合或上回合磨切过的场合：你的下个回合多2点法力。
## Deckay Decomposition
n 朽库分解
l0 分解
t0 磨切4张卡；然后你可以从你的墓地把1张“朽库”卡加入手牌。
l1 彻底降解
t1 改为支付2点法力：磨切6张；加入至多2张。
## Deckay Fiend
n 朽库恶鬼
l0 终末飨宴
t0 在对手的结束阶段：把此卡从场上送入墓地，然后磨切3张卡。
l1 临别恶意
t1 此卡从任何地方被送入墓地的场合：烧掉对手1点法力。
l2 更甜的恶意
t2 改为支付2点法力：获得1000 LP。
l3 堵死秘库
t3 对手特殊召唤圣物时——丢弃此卡：该圣物的效果在本回合内无效。
## Deckay Glutton
n 朽库暴食者
l0 无尽饥饿
t0 在你的结束阶段：磨切2张卡。
## Deckay Leech
n 朽库水蛭
l0 饕餮税
t0 在你的结束阶段：磨切4张卡。
l1 洞中赃物
t1 此卡从卡组被送入墓地的场合：从你的卡组把1张“朽库”神器加入手牌。
l2 掘出即武装
t2 改为支付2点法力：直接将其放置到场上。
## Deckay Maggot
n 朽库蛆虫
l0 墓穴税
t0 在双方的结束阶段：磨切2张卡。
l1 腐臭引路
t1 此卡从卡组被送入墓地的场合：你可以从你的卡组把1张“朽库”法术加入手牌。
## Deckay Moth
n 朽库蛾
l0 尘埃税
t0 在双方的结束阶段：磨切1张卡。
l1 从废墟中孵化
t1 此卡从卡组被送入墓地的场合——支付1点法力：你可以从卡组特殊召唤1只不同名的1级“朽库”怪兽。
l2 茧之诅咒
t2 从你的墓地放逐此卡：把对手控制的1只怪兽以里侧守备表示盖放。
## Deckay Rot
n 朽库腐蚀
l0 散播腐朽
t0 磨切5张卡。此后你的墓地里有“朽库”怪兽的场合，你可以破坏对手控制的1只怪兽。
l1 自下而生
t1 从你的墓地放逐此卡：从你的手牌或墓地特殊召唤1只2级以下的“朽库”怪兽。
## Deckay Spoilage
n 朽库败坏
l0 败坏
t0 磨切2张卡；对手控制的1只怪兽永久失去300攻击力。
l1 深度腐烂
t1 改为支付3点法力：磨切4张；它永久失去500攻击力。
## Deckay Swarm
n 朽库虫群
l0 遮天蔽日
t0 磨切3张卡。然后你可以让对手控制的1只怪兽失去800攻击力。
## Deckay Vulture
n 朽库秃鹫
l0 振翅税
t0 在双方的结束阶段：磨切3张卡。
l1 羽护
t1 此卡从卡组或你的手牌被送入墓地的场合：你控制的1只怪兽本回合不会成为目标、不受对手效果影响。
l2 以牙还牙
t2 对手召唤圣物时——丢弃此卡：从你的额外卡组特殊召唤1只圣物（无视其召唤条件，支付其法力费用）。它不能使用召唤时效果，并在你的下个结束阶段被送入墓地。
## Deckay Worm
n 朽库蠕虫
l0 蠕动归来
t0 支付1点法力并从你的墓地放逐另1张“朽库”卡：从你的墓地特殊召唤此卡。
## Deckay, the Ravenous Under
n 朽库·贪饕地渊
s 你的墓地有10张以上的卡——支付2点法力。
l0 地渊进食
t0 此卡被召唤时：磨切5张卡；然后从你的墓地特殊召唤至多2只“朽库”怪兽。
l1 饱足而耐心
t1 支付2点法力，你在本回合或上回合磨切过的场合：此卡本回合不会被破坏。
## Diactor of the Dragon Shrine
n 龙祠祭司长
l0 龙祠召唤
t0 此卡被通常召唤的场合：你可以从卡组把1只龙族怪兽加入手牌。
l1 龙祠赐福
t1 每回合一次：你可以支付2点法力；从你的手牌特殊召唤1只1级龙族怪兽。
## Doorwyrm of the Dragon Shrine
n 龙祠门龙
## Dragon Claw
n 龙爪
## Dragon Rider
n 驭龙者
l0 魂之通行费
t0 此卡被召唤的场合：从任意墓地放逐2张卡。
l1 骑乘失落者
t1 每回合一次：你可以支付3点法力；特殊召唤1只目前被放逐的龙族怪兽（双方放逐区皆可）。
## Dragon Sceptre
n 龙之权杖
l0 权杖的召唤
t0 支付1点法力：从你的卡组把1只龙族怪兽加入手牌；获得1点法力。
l1 权杖的赐福
t1 支付2点法力；从你的卡组把1只龙族怪兽和1只“龙祠”怪兽加入手牌。
## Dragon Shrine Guardian's Breath
n 龙祠守护者之息
l0 守护者之息
t0 你控制的1只龙族怪兽本回合不会被破坏。
l1 双重吐息
t1 改为支付2点法力：至多2只；它们还获得400守备力，直到本回合结束。
## Dragon Shrine Morning Rites
n 龙祠晨祭
l0 晨祭
t0 从你的卡组把1只2级龙族怪兽加入手牌；翻开你卡组顶的1张卡——你可以把它放到卡组底。
l1 全副仪仗
t1 改为支付3点法力：加入1只2级和1只1级龙族怪兽。
## Dragon Shrine Offering
n 龙祠供品
l0 供品
t0 破坏你控制的1只龙族怪兽，若如此做，抽2张卡。
l1 更大的供品
t1 破坏你控制的1只龙族怪兽，若如此做，抽2张卡，然后从你的墓地特殊召唤1只2级龙族怪兽。
## Dragon Shrine Prayer Wheel
n 龙祠转经轮
l0 转动祈愿
t0 在你的准备阶段：你可以从手牌特殊召唤1只1级龙族怪兽。
l1 祈愿应验
t1 支付3点法力：从你的卡组把1张“龙祠”卡加入手牌。
## Dragon Shrine Scale Advantage
n 龙祠鳞之优势
l0 鳞之优势
t0 支付1点法力：你控制的1只龙获得500攻击力和500守备力，直到本回合结束。
l1 规模效应
t1 改为支付3点法力：你的至多5只龙族怪兽获得500攻击力和500守备力，直到本回合结束。
## Dragon Shrine Stand-In
n 龙祠替身
l0 出戏
t0 你可以把此卡送入墓地：从你的卡组把1张“龙祠”卡加入手牌。
## Dragon Shrine Wakeup Call
n 龙祠唤醒钟
l0 唤醒钟
t0 支付2点法力：从你的墓地特殊召唤1只龙族怪兽。
l1 起床迎接朝阳
t1 改为支付4点法力：从你的墓地特殊召唤至多2只龙族怪兽。
## Dragon Shrine, First Flame of Worship
n 龙祠·初燃的香火
s 你控制3只以上“龙”怪兽。费用3点法力。
l0 龙祠点燃
t0 此卡被召唤时：你控制的所有龙族怪兽永久获得400攻击力。
l1 朝圣者归来
t1 支付3点法力：从你的墓地特殊召唤至多2只1级龙族怪兽。
## Dragon Tail
n 龙尾
l0 尾扫
t0 以你控制的1只龙族怪兽为目标；它在本战斗阶段可以再攻击一次。
## Duskblade Mercenary
n 暮刃佣兵
l0 以血为酬
t0 此卡被通常召唤的场合：永久获得300攻击力。
